geo_code,geo_name,peak_week,peak_date,peak_value
1,Guadeloupe,42,2023-10-16,2333.3333333
2,Martinique,40,2023-10-02,2356.0209424
3,Guyane,47,2023-11-20,1428.5714286
4,Réunion,8,2023-02-20,2200.5571031
6,Mayotte,52,2023-12-25,3333.3333333
11,Île-de-France,47,2023-11-20,2546.0399227
24,Centre-Val de Loire,48,2023-11-27,2643.5986159
27,Bourgogne et Franche-Comté,50,2023-12-11,2259.8479613
28,Normandie,47,2023-11-20,2416.5824065
32,Hauts-de-France,47,2023-11-20,2386.3636364
44,Grand Est,49,2023-12-04,2551.6621743
52,Pays de la Loire,48,2023-11-27,3723.5915493
53,Bretagne,48,2023-11-27,3285.5863921
75,Nouvelle Aquitaine,48,2023-11-27,2735.4472314
76,Occitanie,48,2023-11-27,2275.7999099
84,Auvergne et Rhône-Alpes,49,2023-12-04,2698.6399427
93,Provence-Alpes-Côte d'Azur,49,2023-12-04,2506.5104167
94,Corse,51,2023-12-18,2089.5522388
