geo_code,geo_name,peak_week,peak_date,peak_value
1,Guadeloupe,44,2022-10-31,2898.5507246
3,Guyane,47,2022-11-21,2085.3080569
4,Réunion,12,2022-03-21,2431.8181818
6,Mayotte,6,2022-02-07,3309.8591549
11,Île-de-France,44,2022-10-31,2831.1473473
24,Centre-Val de Loire,47,2022-11-21,3175.3554502
27,Bourgogne et Franche-Comté,49,2022-12-05,2958.2806574
28,Normandie,47,2022-11-21,2538.377193
32,Hauts-de-France,44,2022-10-31,2637.1022343
44,Grand Est,47,2022-11-21,3331.9821646
52,Pays de la Loire,47,2022-11-21,3965.1837524
53,Bretagne,48,2022-11-28,2584.5620121
75,Nouvelle Aquitaine,47,2022-11-21,3326.4569366
76,Occitanie,48,2022-11-28,2786.4380359
84,Auvergne et Rhône-Alpes,47,2022-11-21,3161.8483952
93,Provence-Alpes-Côte d'Azur,48,2022-11-28,3170.063888
94,Corse,50,2022-12-12,2189.3491124
