geo_code,geo_name,peak_week,peak_date,peak_value
1,Guadeloupe,4,2025-01-20,937.5
2,Martinique,1,2024-12-30,1551.7241379
3,Guyane,25,2025-06-16,1479.2899408
4,Réunion,1,2024-12-30,1301.9390582
6,Mayotte,11,2025-03-10,1794.8717949
11,Île-de-France,1,2024-12-30,875.33957139
24,Centre-Val de Loire,1,2024-12-30,1237.3540856
27,Bourgogne et Franche-Comté,1,2024-12-30,1523.8095238
28,Normandie,1,2024-12-30,1099.3377483
32,Hauts-de-France,1,2024-12-30,978.5202864
44,Grand Est,1,2024-12-30,1380.8574277
52,Pays de la Loire,1,2024-12-30,1254.0192926
53,Bretagne,1,2024-12-30,1640.2714932
75,Nouvelle Aquitaine,1,2024-12-30,1189.1558842
76,Occitanie,1,2024-12-30,1462.0758483
84,Auvergne et Rhône-Alpes,1,2024-12-30,1298.063024
93,Provence-Alpes-Côte d'Azur,1,2024-12-30,1270.4918033
94,Corse,14,2025-03-31,1269.8412698
