geo_code,geo_name,peak_week,peak_date,peak_value
1,Guadeloupe,45,2024-11-04,2807.8817734
2,Martinique,50,2024-12-09,2660.5504587
3,Guyane,44,2024-10-28,1693.1216931
4,Réunion,2,2024-01-08,1883.2891247
6,Mayotte,2,2024-01-08,4196.4285714
11,Île-de-France,47,2024-11-18,1931.7433127
24,Centre-Val de Loire,48,2024-11-25,1855.500821
27,Bourgogne et Franche-Comté,1,2024-01-01,1561.1814346
28,Normandie,50,2024-12-09,1218.75
32,Hauts-de-France,48,2024-11-25,1634.5441067
44,Grand Est,50,2024-12-09,1567.6567657
52,Pays de la Loire,51,2024-12-16,1830.8351178
53,Bretagne,49,2024-12-02,1962.1749409
75,Nouvelle Aquitaine,50,2024-12-09,1835.6164384
76,Occitanie,51,2024-12-16,1685.2886406
84,Auvergne et Rhône-Alpes,50,2024-12-09,1567.336187
93,Provence-Alpes-Côte d'Azur,50,2024-12-09,2104.6600458
94,Corse,51,2024-12-16,1025.6410256
