date_monday,year_iso,week_iso_num,geo_level,geo_code,geo_name,classe_d_age,taux_passages_urgences,taux_hosp,taux_sos,topic
2020-02-03,2020,6,FR,FR,France,Tous âges,5836.4463065,8563.2212372,23128.333585,IRA
2020-02-10,2020,7,FR,FR,France,0-1 an,890.41405156,2180.8832426,437.54410727,RSV
2020-02-10,2020,7,FR,FR,France,00-04 ans,0.0,0.0,0.0,COVID
2020-02-10,2020,7,FR,FR,France,00-04 ans,14339.649025,24201.576109,21078.970524,IRA
2020-02-10,2020,7,FR,FR,France,05-14 ans,0.0,0.0,0.0,COVID
2020-02-10,2020,7,FR,FR,France,05-14 ans,6301.497897,5337.1799495,29309.547407,IRA
2020-02-10,2020,7,FR,FR,France,15-64 ans,0.0,0.0,0.0,COVID
2020-02-10,2020,7,FR,FR,France,15-64 ans,3317.865158,4218.9088445,23079.044508,IRA
2020-02-10,2020,7,FR,FR,France,65 ans ou plus,0.0,0.0,0.0,COVID
2020-02-10,2020,7,FR,FR,France,65 ans ou plus,6300.4846527,9678.4929774,17887.885786,IRA
2020-02-10,2020,7,FR,FR,France,Tous âges,0.0,0.0,0.0,COVID
2020-02-10,2020,7,FR,FR,France,Tous âges,5790.6156348,8520.6772134,23146.415721,IRA
2020-02-17,2020,8,FR,FR,France,0-1 an,825.34214691,2037.5586854,401.70419963,RSV
2020-02-17,2020,8,FR,FR,France,00-04 ans,0.0,0.0,0.0,COVID
2020-02-17,2020,8,FR,FR,France,00-04 ans,12701.717855,22852.826931,18731.193581,IRA
2020-02-17,2020,8,FR,FR,France,05-14 ans,0.0,0.0,0.0,COVID
2020-02-17,2020,8,FR,FR,France,05-14 ans,5683.4489357,4942.0849421,25589.836661,IRA
2020-02-17,2020,8,FR,FR,France,15-64 ans,3.5450726444,12.794813835,0.0,COVID
2020-02-17,2020,8,FR,FR,France,15-64 ans,3055.8526195,3987.7169787,20329.706417,IRA
2020-02-17,2020,8,FR,FR,France,65 ans ou plus,0.0,0.0,0.0,COVID
2020-02-17,2020,8,FR,FR,France,65 ans ou plus,6060.5625305,9509.0405174,16731.066461,IRA
2020-02-17,2020,8,FR,FR,France,Tous âges,1.9190358764,4.9195651104,0.0,COVID
2020-02-17,2020,8,FR,FR,France,Tous âges,5250.4821578,8205.8346042,20295.295295,IRA
2020-02-24,2020,9,FR,FR,France,0-1 an,742.0274825,1883.0727396,387.90373654,RSV
2020-02-24,2020,9,FR,FR,France,00-04 ans,17.000056667,71.140621295,0.0,COVID
2020-02-24,2020,9,FR,FR,France,00-04 ans,11642.205474,20630.780175,16790.191868,IRA
2020-02-24,2020,9,FR,FR,France,05-14 ans,43.568603794,42.301184433,0.0,COVID
2020-02-24,2020,9,FR,FR,France,05-14 ans,4470.8090355,3722.5042301,20974.317163,IRA
2020-02-24,2020,9,FR,FR,France,15-64 ans,54.752185525,71.190211346,0.0,COVID
2020-02-24,2020,9,FR,FR,France,15-64 ans,3272.3556215,4244.7163515,19683.886389,IRA
2020-02-24,2020,9,FR,FR,France,65 ans ou plus,26.584353631,43.685731568,0.0,COVID
2020-02-24,2020,9,FR,FR,France,65 ans ou plus,6629.8424139,9940.1841522,18381.637814,IRA
2020-02-24,2020,9,FR,FR,France,Tous âges,42.728285115,56.105273896,0.0,COVID
2020-02-24,2020,9,FR,FR,France,Tous âges,5151.6181235,8279.7782992,19134.57282,IRA
2020-03-02,2020,10,FR,FR,France,0-1 an,704.7122324,1636.4323507,371.07681637,RSV
2020-03-02,2020,10,FR,FR,France,00-04 ans,200.57584679,553.35968379,132.85113292,COVID
2020-03-02,2020,10,FR,FR,France,00-04 ans,10051.437999,18155.467721,15255.738431,IRA
2020-03-02,2020,10,FR,FR,France,05-14 ans,316.66974113,994.43118536,283.98333964,COVID
2020-03-02,2020,10,FR,FR,France,05-14 ans,3846.1538462,4097.0564837,18430.518743,IRA
2020-03-02,2020,10,FR,FR,France,15-64 ans,773.34292518,1335.166785,362.6687268,COVID
2020-03-02,2020,10,FR,FR,France,15-64 ans,3872.9162532,5478.1760114,18399.536471,IRA
2020-03-02,2020,10,FR,FR,France,65 ans ou plus,573.52964284,880.03060976,284.29282161,COVID
2020-03-02,2020,10,FR,FR,France,65 ans ou plus,6929.4951368,10515.148353,16509.290283,IRA
