geo_code,geo_name,taux_passages_bronchio_sau,taux_hospit_bronchio_sau,taux_actes_bronchio_sos,year,pop_lt1,taux_passages_bronchio_sau_popnorm,taux_hospit_bronchio_sau_popnorm,taux_actes_bronchio_sos_popnorm,couv_dose1,couv_complet,couv_rappel,port_du_masque,lavage_des_mains,eviter_les_regrupements,gm_workplaces,score_mnp,tmean,tmean,tmean_szn_pct,tmean_szn_quintile,rsv_pos_pct
FR,France,1763.3438461,4065.4672664,877.2978628,2019,1467412.0,120.16692286147314,277.05015812873273,59.78538152884125,,,,,,,,,1.645952380952381,5.259747023809524,50.0,2.0,8.0
FR,France,1763.3438461,4065.4672664,877.2978628,2019,1467412.0,120.16692286147314,277.05015812873273,59.78538152884125,,,,,,,,,1.645952380952381,5.259747023809524,50.0,2.0,63.0
FR,France,1763.3438461,4065.4672664,877.2978628,2019,1467412.0,120.16692286147314,277.05015812873273,59.78538152884125,,,,,,,,,1.645952380952381,5.259747023809524,50.0,2.0,5633.0
FR,France,1763.3438461,4065.4672664,877.2978628,2019,1467412.0,120.16692286147314,277.05015812873273,59.78538152884125,,,,,,,,,1.645952380952381,5.259747023809524,50.0,2.0,997.0
FR,France,1763.3438461,4065.4672664,877.2978628,2019,1467412.0,120.16692286147314,277.05015812873273,59.78538152884125,,,,,,,,,1.645952380952381,5.259747023809524,50.0,2.0,12.7
FR,France,1283.5930147,3226.2129805,541.12554113,2020,1431860.0,89.64514789853756,225.31623067199305,37.79179117581328,,,,,,,,,3.5030505952380953,7.097232142857142,87.5,4.0,7.0
FR,France,1283.5930147,3226.2129805,541.12554113,2020,1431860.0,89.64514789853756,225.31623067199305,37.79179117581328,,,,,,,,,3.5030505952380953,7.097232142857142,87.5,4.0,110.0
FR,France,1283.5930147,3226.2129805,541.12554113,2020,1431860.0,89.64514789853756,225.31623067199305,37.79179117581328,,,,,,,,,3.5030505952380953,7.097232142857142,87.5,4.0,703.0
FR,France,1283.5930147,3226.2129805,541.12554113,2020,1431860.0,89.64514789853756,225.31623067199305,37.79179117581328,,,,,,,,,3.5030505952380953,7.097232142857142,87.5,4.0,6264.0
FR,France,1283.5930147,3226.2129805,541.12554113,2020,1431860.0,89.64514789853756,225.31623067199305,37.79179117581328,,,,,,,,,3.5030505952380953,7.097232142857142,87.5,4.0,6.4
FR,France,1122.6776909,2690.5132193,577.39357364,2020,1431860.0,78.40694557428799,187.90337178914137,40.32472264327518,,,,,,,,,3.7340625,7.32967261904762,87.5,4.0,14.0
FR,France,1122.6776909,2690.5132193,577.39357364,2020,1431860.0,78.40694557428799,187.90337178914137,40.32472264327518,,,,,,,,,3.7340625,7.32967261904762,87.5,4.0,146.0
FR,France,1122.6776909,2690.5132193,577.39357364,2020,1431860.0,78.40694557428799,187.90337178914137,40.32472264327518,,,,,,,,,3.7340625,7.32967261904762,87.5,4.0,644.0
FR,France,1122.6776909,2690.5132193,577.39357364,2020,1431860.0,78.40694557428799,187.90337178914137,40.32472264327518,,,,,,,,,3.7340625,7.32967261904762,87.5,4.0,6242.0
FR,France,1122.6776909,2690.5132193,577.39357364,2020,1431860.0,78.40694557428799,187.90337178914137,40.32472264327518,,,,,,,,,3.7340625,7.32967261904762,87.5,4.0,9.6
FR,France,1192.589558,2907.9861111,495.30685921,2020,1431860.0,83.2895365468691,203.09151111840544,34.591849706675234,,,,,,,,,0.9147321428571428,4.629538690476191,50.0,2.0,7.0
FR,France,1192.589558,2907.9861111,495.30685921,2020,1431860.0,83.2895365468691,203.09151111840544,34.591849706675234,,,,,,,,,0.9147321428571428,4.629538690476191,50.0,2.0,182.0
FR,France,1192.589558,2907.9861111,495.30685921,2020,1431860.0,83.2895365468691,203.09151111840544,34.591849706675234,,,,,,,,,0.9147321428571428,4.629538690476191,50.0,2.0,6588.0
FR,France,1192.589558,2907.9861111,495.30685921,2020,1431860.0,83.2895365468691,203.09151111840544,34.591849706675234,,,,,,,,,0.9147321428571428,4.629538690476191,50.0,2.0,561.0
FR,France,1192.589558,2907.9861111,495.30685921,2020,1431860.0,83.2895365468691,203.09151111840544,34.591849706675234,,,,,,,,,0.9147321428571428,4.629538690476191,50.0,2.0,3.8
FR,France,1110.1390954,2835.3837141,527.61269749,2020,1431860.0,77.53125971812887,198.02101560906792,36.84806457963767,,,,,,,,,6.494940476190476,9.484479166666668,100.0,5.0,93.0
FR,France,1110.1390954,2835.3837141,527.61269749,2020,1431860.0,77.53125971812887,198.02101560906792,36.84806457963767,,,,,,,,,6.494940476190476,9.484479166666668,100.0,5.0,2.0
FR,France,1110.1390954,2835.3837141,527.61269749,2020,1431860.0,77.53125971812887,198.02101560906792,36.84806457963767,,,,,,,,,6.494940476190476,9.484479166666668,100.0,5.0,575.0
FR,France,1110.1390954,2835.3837141,527.61269749,2020,1431860.0,77.53125971812887,198.02101560906792,36.84806457963767,,,,,,,,,6.494940476190476,9.484479166666668,100.0,5.0,7949.0
FR,France,1110.1390954,2835.3837141,527.61269749,2020,1431860.0,77.53125971812887,198.02101560906792,36.84806457963767,,,,,,,,,6.494940476190476,9.484479166666668,100.0,5.0,2.2
FR,France,1024.9819625,2491.8130396,455.01551189,2020,1431860.0,71.58395111952287,174.0263042196863,31.777933030463874,,,,,,,,,3.8730952380952384,8.063229166666668,87.5,4.0,3.0
FR,France,1024.9819625,2491.8130396,455.01551189,2020,1431860.0,71.58395111952287,174.0263042196863,31.777933030463874,,,,,,,,,3.8730952380952384,8.063229166666668,87.5,4.0,102.0
