geo_code,geo_name,year_iso,peak_date,peak_week,peak_value
27,Bourgogne et Franche-Comté,2025,2024-12-30,1,1523.8095238
28,Normandie,2025,2024-12-30,1,1099.3377483
32,Hauts-de-France,2025,2024-12-30,1,978.5202864
44,Grand Est,2025,2024-12-30,1,1380.8574277
52,Pays de la Loire,2025,2024-12-30,1,1254.0192926
53,Bretagne,2025,2024-12-30,1,1640.2714932
75,Nouvelle Aquitaine,2025,2024-12-30,1,1189.1558842
76,Occitanie,2025,2024-12-30,1,1462.0758483
84,Auvergne et Rhône-Alpes,2025,2024-12-30,1,1298.063024
93,Provence-Alpes-Côte d'Azur,2025,2024-12-30,1,1270.4918033
94,Corse,2025,2025-03-31,14,1269.8412698
