geo_code,geo_name,date_monday,year_iso,week_iso_num,taux_passages_urgences,MNP_score,tmean,workplaces,retail_and_recreation,couv_complet
76,Occitanie,2020-06-22,2020,26,12.360939431,,20.267142857142854,-16.142857142857142,-9.571428571428571,
76,Occitanie,2020-06-29,2020,27,57.603686636,,16.975714285714286,-15.285714285714286,-3.0,
76,Occitanie,2020-07-06,2020,28,58.881256133,,16.268571428571427,-19.428571428571427,4.0,
76,Occitanie,2020-07-13,2020,29,111.8359739,,17.321428571428573,-28.571428571428573,7.428571428571429,
76,Occitanie,2020-07-20,2020,30,29.527559055,,17.742857142857144,-20.285714285714285,8.571428571428571,
76,Occitanie,2020-07-27,2020,31,54.744525547,,19.898571428571422,-23.714285714285715,11.714285714285714,
76,Occitanie,2020-08-03,2020,32,85.066162571,,21.77857142857143,-29.571428571428573,23.571428571428573,
76,Occitanie,2020-08-10,2020,33,128.53470437,,22.57857142857143,-35.142857142857146,23.142857142857142,
76,Occitanie,2020-08-17,2020,34,74.280408542,,19.982857142857146,-30.857142857142858,17.0,
76,Occitanie,2020-08-24,2020,35,160.16016016,,16.975714285714286,-24.714285714285715,5.428571428571429,
76,Occitanie,2020-08-31,2020,36,205.68070519,,15.918571428571427,-19.142857142857142,2.142857142857143,
76,Occitanie,2020-09-07,2020,37,632.62195122,,16.965714285714288,-17.714285714285715,-1.0,
76,Occitanie,2020-09-14,2020,38,549.63084495,,20.21857142857143,-14.0,-6.857142857142857,
76,Occitanie,2020-09-21,2020,39,605.0955414,,14.312857142857142,-13.285714285714286,-12.857142857142858,
76,Occitanie,2020-09-28,2020,40,562.29327453,,14.124285714285715,-11.428571428571429,-13.428571428571429,
76,Occitanie,2020-10-05,2020,41,708.95522388,,13.314285714285717,-11.0,-11.714285714285714,
76,Occitanie,2020-10-12,2020,42,502.04918033,,10.064285714285717,-11.571428571428571,-14.857142857142858,
76,Occitanie,2020-10-19,2020,43,507.84856879,,13.54142857142857,-24.142857142857142,-16.0,
76,Occitanie,2020-10-26,2020,44,329.30845225,,12.682857142857143,-33.142857142857146,-29.285714285714285,
76,Occitanie,2020-11-02,2020,45,292.39766082,,10.124285714285715,-29.0,-54.714285714285715,
76,Occitanie,2020-11-09,2020,46,234.46658851,,12.398571428571428,-37.0,-55.285714285714285,
76,Occitanie,2020-11-16,2020,47,324.74804031,,10.27,-27.428571428571427,-51.714285714285715,
76,Occitanie,2020-11-23,2020,48,247.9338843,,8.097142857142858,-23.571428571428573,-42.42857142857143,
76,Occitanie,2020-11-30,2020,49,327.04402516,,5.99,-21.142857142857142,-25.428571428571427,
