geo_code,geo_name,season,start,peak_date,end,peak_week,amplitude,duration_weeks,cumul
27,Bourgogne et Franche-Comté,2025/2026,2025-06-30,2025-07-14,2025-07-21,29,161.96467903999996,3.0,1042.77945155
28,Normandie,2019/2020,2019-12-30,2019-12-30,2020-05-11,1,1966.5907365,19.0,15252.437285161
28,Normandie,2020/2021,2020-09-07,2021-04-12,2021-06-28,15,1083.92317951,42.0,25922.348986373
28,Normandie,2021/2022,2021-07-05,2021-11-29,2022-06-06,48,1606.7698079,48.0,35559.15993404
28,Normandie,2022/2023,2022-09-12,2022-11-21,2023-06-12,47,2343.4929055499997,39.0,46887.08080636
28,Normandie,2023/2024,2023-09-04,2023-11-20,2024-06-17,47,2241.5824065,41.0,39248.32352017999
28,Normandie,2024/2025,2024-09-09,2024-12-09,2025-06-23,50,1156.868811881,41.0,26384.222201853
28,Normandie,2025/2026,2025-06-30,2025-08-04,2025-07-21,32,95.32588883199999,3.0,804.003781458
32,Hauts-de-France,2019/2020,2019-12-30,2019-12-30,2020-04-20,1,1627.681621097,16.0,12026.615544178
32,Hauts-de-France,2020/2021,2020-09-07,2021-03-22,2021-06-28,12,1275.147119564,42.0,25939.227295785993
32,Hauts-de-France,2021/2022,2021-07-05,2021-11-22,2022-06-27,47,1616.53309017,51.0,33496.80230402
32,Hauts-de-France,2022/2023,2022-07-04,2022-10-31,2023-06-05,44,2511.3687892,48.0,43735.618788960004
32,Hauts-de-France,2023/2024,2023-09-11,2023-11-20,2024-06-10,47,2243.22765722,39.0,38940.052611479994
32,Hauts-de-France,2024/2025,2024-09-16,2024-11-25,2025-06-16,48,1563.872728608,39.0,29255.801554856
32,Hauts-de-France,2025/2026,2025-06-30,2025-07-07,2025-07-28,28,165.59869879000001,4.0,1087.92007641
44,Grand Est,2019/2020,2019-12-30,2019-12-30,2020-05-25,1,1656.7505721,21.0,14759.442598863
44,Grand Est,2020/2021,2020-08-31,2021-03-22,2021-06-28,12,706.300655573,43.0,18214.820191731
44,Grand Est,2021/2022,2021-07-05,2021-11-29,2022-03-21,48,1402.33529232,37.0,34650.80952791001
44,Grand Est,2022/2023,2022-09-12,2022-11-21,2023-06-12,47,3232.344483441,39.0,42085.58121356901
44,Grand Est,2023/2024,2023-09-11,2023-12-04,2024-06-10,49,2425.64957304,39.0,38078.50937442
44,Grand Est,2024/2025,2024-09-09,2024-12-09,2025-06-09,50,1514.74671279,39.0,29170.883449485
44,Grand Est,2025/2026,2025-06-30,2025-07-14,2025-07-28,29,149.638382224,4.0,987.8911727760001
52,Pays de la Loire,2019/2020,2019-12-30,2019-12-30,2020-04-27,1,2049.0196078,17.0,17357.860637975
52,Pays de la Loire,2020/2021,2020-09-07,2021-03-22,2021-06-28,12,1901.966035106,42.0,32847.529243336
52,Pays de la Loire,2021/2022,2021-07-05,2021-11-29,2022-04-11,48,2187.1539313900003,40.0,44527.57949098
52,Pays de la Loire,2022/2023,2022-07-04,2022-11-21,2023-05-29,47,3875.578017633,47.0,57453.080371767
52,Pays de la Loire,2023/2024,2023-09-11,2023-11-27,2024-06-17,48,3591.7648073,40.0,51628.40006436999
52,Pays de la Loire,2024/2025,2024-09-16,2024-12-16,2025-06-16,51,1773.473741127,39.0,31654.579367301998
52,Pays de la Loire,2025/2026,2025-06-30,2025-06-30,2025-07-28,27,212.90715036100002,4.0,1261.2799128390002
53,Bretagne,2019/2020,2019-12-30,2019-12-30,2020-04-27,1,2042.6829268,17.0,13184.674783705002
53,Bretagne,2020/2021,2020-08-31,2021-03-29,2021-06-28,13,1979.192831245,43.0,28477.395423882004
53,Bretagne,2021/2022,2021-07-05,2021-12-13,2022-06-27,50,1592.91084853,51.0,36911.28999082
53,Bretagne,2022/2023,2022-07-04,2022-11-28,2023-06-19,48,2493.8179104670003,50.0,46156.62489167301
53,Bretagne,2023/2024,2023-09-18,2023-11-27,2024-06-17,48,3179.39170183,39.0,44321.194429740004
53,Bretagne,2024/2025,2024-09-09,2024-12-02,2025-06-09,49,1898.0723767969998,39.0,33037.642373325
53,Bretagne,2025/2026,2025-06-30,2025-06-30,2025-07-28,27,195.07328829700003,4.0,1258.3116877329999
75,Nouvelle Aquitaine,2019/2020,2019-12-30,2019-12-30,2020-05-25,1,1890.6064209,21.0,12743.369004983002
75,Nouvelle Aquitaine,2020/2021,2020-08-31,2021-03-29,2021-06-28,13,1152.960006175,43.0,23277.241361162
75,Nouvelle Aquitaine,2021/2022,2021-07-05,2021-11-29,2022-06-13,48,1940.11712614,49.0,38093.362564250005
75,Nouvelle Aquitaine,2022/2023,2022-07-04,2022-11-21,2023-05-22,47,3249.5338596770002,46.0,48290.56859116299
