date_monday,series,trend,seasonal,resid
2019-12-30,1763.3438461,498.6623062574035,536.5216475438173,728.1598922987791
2020-01-06,1283.5930147,501.99108362641704,-129.61479547646007,911.216726550043
2020-01-13,1122.6776909,505.3177022874106,-56.86723449922605,674.2272231118154
2020-01-20,1192.589558,508.6420549614963,-156.58783168950387,840.5353347280075
2020-01-27,1110.1390954,511.96402852178164,39.63535652181117,558.5397103564072
2020-02-03,1024.9819625,515.2835036846384,99.12710416606267,410.571354649299
2020-02-10,890.41405156,518.600354691249,344.2485055749841,27.565191293766816
2020-02-17,825.34214691,521.9144346002138,327.1901371421624,-23.76242483237621
2020-02-24,742.0274825,525.225544888479,215.35892618259226,1.4430114289287985
2020-03-02,704.7122324,528.5335156115608,203.27780787232794,-27.099091083888766
2020-03-09,708.73342478,531.8381931479529,191.54183790731028,-14.646606275263252
2020-03-16,821.48337596,535.1394752029844,284.7764151845136,1.567485572501937
2020-03-23,630.36401302,538.4372923018956,88.21285294952814,3.7138677685762786
2020-03-30,329.5202322,541.7315695264643,-216.74432873523193,4.532991408767543
2020-04-06,160.11885111,545.0222142552183,-396.4338968050438,11.53053365982555
2020-04-13,103.6695738,548.3091106739058,-452.51777781443695,7.8782409405311
2020-04-20,85.850068987,551.5921090953539,-469.0528853505634,3.3108452422095525
2020-04-27,71.407752842,554.8710308933645,-490.127184036328,6.663905984963549
2020-05-04,54.666146037,558.1456758298502,-508.75809236456615,5.278562571715952
2020-05-11,63.265580832,561.4158186073556,-491.6247509259872,-6.525486849368463
2020-05-18,45.227326827,564.6812133498923,-513.9031464641165,-5.550740058775887
2020-05-25,50.279968004,567.9416108129051,-514.9788421020885,-2.682800706816579
2020-06-01,35.211267606,571.1967596555021,-527.1752451213448,-8.810246928157312
2020-06-08,37.925264919,574.4464032859368,-528.7170261755798,-7.804112191356921
2020-06-15,31.746031746,577.6902867564124,-543.3647703043222,-2.579484706090284
2020-06-22,55.04587156,580.9281555573114,-518.203863571972,-7.678420425339368
2020-06-29,97.061442565,584.1597491686791,-477.97637201585655,-9.12193458782258
2020-07-06,178.02764113,587.3848070214332,-406.5618483281719,-2.7953175632612783
2020-07-13,164.47117947,590.6030709459039,-422.0361437274571,-4.095747748446797
2020-07-20,149.18190568,593.814277064889,-440.94622142048235,-3.6861499644066953
2020-07-27,131.20824278,597.018155124989,-472.1016869191626,6.291774574173587
2020-08-03,107.32579885,600.2144236871084,-500.0230668283286,7.134441991220228
2020-08-10,102.91595197,603.4027687283267,-483.71841471674514,-16.768402041581567
2020-08-17,127.78002426,606.5828424418036,-477.9250995136745,-0.8777186681289777
2020-08-24,170.1754386,609.7543002604648,-461.48566990436797,21.906808243903242
2020-08-31,230.35343035,612.9167690978304,-409.23665657329053,26.673317825460117
2020-09-07,538.06249246,616.0697719792616,-82.4992306462461,4.491951126984532
2020-09-14,468.66069728,619.2126861862795,-185.17346226223876,34.621473355959324
2020-09-21,428.96068509,622.344741309154,-195.80954175051303,2.4254855313590724
2020-09-28,424.83932894,625.4649352623532,-202.4011228303444,1.7755165079912558
2020-10-05,466.36561819,628.5720534683958,-164.82712485110952,2.620689572713786
2020-10-12,410.79092581,631.6646536552747,-223.52476598442288,2.6510381391481133
2020-10-19,412.57085456,634.7410212684202,1482.5220453428474,-1704.6922120512677
2020-10-26,320.68799228,637.7991246575018,967.4770560125272,-1284.588188390029
2020-11-02,274.39836604,640.8365828999787,816.8368048909241,-1183.2750217509029
2020-11-09,277.89690368,643.8506354143838,609.4556341496373,-975.4093658840211
2020-11-16,337.15616108,646.8381309096221,656.4780113972622,-966.1599812268844
2020-11-23,320.80974438,649.795565272735,893.2512025642213,-1222.2370234569562
2020-11-30,354.36039206,652.7192152081493,967.2084545492762,-1265.5672776974257
2020-12-07,387.57181002,655.605440673546,798.7969119482628,-1066.830542601809
2020-12-14,408.25653134,658.4512471439563,1529.4459704293308,-1779.640686233287
2020-12-21,465.72997646,660.51941648649,1054.6617604259304,-1249.4512004524204
2020-12-28,418.02235111,662.5044402394193,535.9580049360711,-780.4400940654905
2021-01-04,360.8984605,664.4252807051578,25.705957546456183,-329.232777751614
2021-01-11,419.98090996,666.3068356422407,-10.881758548421356,-235.4441671338193
2021-01-18,558.99353961,668.1738233970087,-106.83032983142073,-2.3499539555880347
2021-01-25,711.93654479,670.0435696587501,38.92824965140897,2.964725479840922
2021-02-01,763.39097427,671.9267479391917,92.41058561354187,-0.9463592827336242
2021-02-08,873.92900857,673.8298789238085,237.88451370220466,-37.785384056013186
2021-02-15,982.82442748,675.758283643746,240.0457407025386,67.02040313371538
2021-02-22,1055.3913092,677.7182393417341,159.12373313889813,218.54933671936772
2021-03-01,904.50172229,679.7147553676474,160.51364848385444,64.27331843849811
2021-03-08,924.86240727,681.7504503478325,135.14320352719002,107.9687533949774
2021-03-15,1029.5996002,683.8251452683862,191.706572477594,154.0678824540197
2021-03-22,1187.6171657,685.9362691535113,-1.885084573480873,503.5659811199697
2021-03-29,1232.8174565,688.0795568501264,-208.10779004056258,752.8456896904361
2021-04-05,1143.7371663,690.2497661117575,-350.65965524073346,804.1470554289758
2021-04-12,1045.153522,692.4411035549871,-384.8233420118593,737.5357604568723
2021-04-19,706.60095787,694.647432772669,-408.46976366826055,420.42328876559156
2021-04-26,488.80291645,696.8620544318253,-430.8927174044079,222.8335794225826
2021-05-03,432.74355148,699.0764926003803,-460.45646826818336,194.1235271478031
2021-05-10,518.66700075,701.2816771075206,-452.02269213410375,269.40801577658317
