date_monday,RSV_urg,couv_dose1,couv_complet,couv_rappel,MNP_score,FLU_positivity,tmean
2019-12-30,1763.3438461,,0.0,,84.93760536258527,34.9,5.259747023809524
2020-01-06,1283.5930147,,0.0,,84.93760536258527,40.0,7.097232142857142
2020-01-13,1122.6776909,,0.0,,84.93760536258527,53.1,7.32967261904762
2020-01-20,1192.589558,,0.0,,84.93760536258527,62.4,4.629538690476191
2020-01-27,1110.1390954,,0.0,,84.93760536258527,66.5,9.484479166666668
2020-02-03,1024.9819625,,0.0,,84.93760536258527,70.5,8.063229166666668
2020-02-10,890.41405156,,0.0,,84.93760536258527,71.1,9.393258928571427
2020-02-17,825.34214691,,0.0,,84.93760536258527,59.6,8.491934523809524
2020-02-24,742.0274825,,0.0,,84.93760536258527,57.1,8.376532738095237
2020-03-02,704.7122324,,0.0,,84.93760536258527,52.8,7.437202380952381
2020-03-09,708.73342478,,0.0,,84.93760536258527,47.8,9.94375
2020-03-16,821.48337596,,0.0,,84.93760536258527,18.9,11.085595238095236
2020-03-23,630.36401302,,0.0,,84.93760536258527,7.1,7.6352232142857135
2020-03-30,329.5202322,,0.0,,84.93760536258527,0.0,8.364985119047619
2020-04-06,160.11885111,,0.0,,84.93760536258527,4.2,14.726145833333334
2020-04-13,103.6695738,,0.0,,84.93760536258527,0.0,14.06001488095238
2020-04-20,85.850068987,,0.0,,84.93760536258527,0.0,15.21014880952381
2020-04-27,71.407752842,,0.0,,84.93760536258527,0.0,13.906205357142856
2020-05-04,54.666146037,,0.0,,84.93760536258527,0.0,16.66919642857143
2020-05-11,63.265580832,,0.0,,84.93760536258527,0.0,12.353541666666668
2020-05-18,45.227326827,,0.0,,84.93760536258527,0.0,17.383303571428574
2020-05-25,50.279968004,,0.0,,84.93760536258527,0.0,17.778422619047618
2020-06-01,35.211267606,,0.0,,84.93760536258527,0.0,16.958482142857143
2020-06-08,37.925264919,,0.0,,84.93760536258527,0.0,15.691666666666668
2020-06-15,31.746031746,,0.0,,84.93760536258527,0.0,17.16386904761905
2020-06-22,55.04587156,,0.0,,84.93760536258527,0.0,21.630892857142857
2020-06-29,97.061442565,,0.0,,84.93760536258527,0.0,19.555625
2020-07-06,178.02764113,,0.0,,84.93760536258527,0.0,19.755059523809525
2020-07-13,164.47117947,,0.0,,84.93760536258527,0.0,19.87058035714286
2020-07-20,149.18190568,,0.0,,84.93760536258527,0.0,21.78827380952381
2020-07-27,131.20824278,,0.0,,84.93760536258527,0.0,23.489017857142855
2020-08-03,107.32579885,,0.0,,84.93760536258527,0.0,22.9446875
2020-08-10,102.91595197,,0.0,,84.93760536258527,0.0,24.038318452380953
2020-08-17,127.78002426,,0.0,,84.93760536258527,0.0,22.33294642857143
2020-08-24,170.1754386,,0.0,,84.93760536258527,0.0,19.05607142857143
2020-08-31,230.35343035,,0.0,,84.93760536258527,0.0,17.942395833333332
2020-09-07,538.06249246,,0.0,,84.93760536258527,0.0,19.435401785714287
2020-09-14,468.66069728,,0.0,,84.93760536258527,0.0,22.31334821428571
2020-09-21,428.96068509,,0.0,,84.93760536258527,0.0,15.228794642857144
2020-09-28,424.83932894,,0.0,,84.93760536258527,0.0,13.369642857142855
2020-10-05,466.36561819,,0.0,,84.93760536258527,0.0,13.407306547619047
2020-10-12,410.79092581,,0.0,,84.93760536258527,0.0,9.89485119047619
2020-10-19,412.57085456,,0.0,,84.93760536258527,0.0,14.107529761904765
2020-10-26,320.68799228,,0.0,,84.93760536258527,0.0,12.735625
2020-11-02,274.39836604,,0.0,,84.93760536258527,0.0,11.56188988095238
2020-11-09,277.89690368,,0.0,,84.93760536258527,0.0,12.446473214285716
2020-11-16,337.15616108,,0.0,,85.71079724963498,0.0,8.84
2020-11-23,320.80974438,,0.0,,86.48398913668468,0.0,7.676681547619047
2020-11-30,354.36039206,,0.0,,78.58672379463046,3.6,4.944627976190476
2020-12-07,387.57181002,,0.0,,70.68945845257623,0.0,5.463541666666667
2020-12-14,408.25653134,,0.0,,62.792193110522,0.0,9.081383928571428
2020-12-21,465.72997646,,0.0,,64.1121152340853,0.0,7.2859375
2020-12-28,418.02235111,,0.0,,65.4320373576486,0.0,3.3651339285714283
2021-01-04,360.8984605,0.0001900640529621,0.0,0.0,66.7519594812119,0.0,1.2056696428571427
2021-01-11,419.98090996,0.0181404669169888,0.0001462346269558,0.0,68.0718816047752,2.1,4.0903125000000005
2021-01-18,558.99353961,0.1442049558729926,0.0012026466799503,0.0,69.3918037283385,0.0,5.893318452380953
2021-01-25,711.93654479,0.3555115340993163,0.0028202392341477,0.0,69.83269432199654,0.0,7.240803571428572
2021-02-01,763.39097427,0.5224340597509344,0.0220797901871122,0.0,70.2735849156546,0.0,9.141622023809523
2021-02-08,873.92900857,0.6400443849373556,0.0982508267573301,0.0,70.71447550931265,0.0,1.655669642857143
2021-02-15,982.82442748,0.7601288197787155,0.2382936256429334,0.0,71.15536610297069,0.0,9.77111607142857
2021-02-22,1055.3913092,0.8543600375883779,0.412165368230981,0.0,71.41810589738382,0.0,10.344657738095238
2021-03-01,904.50172229,0.9902111867887184,0.5527926960036038,0.0,71.68084569179696,0.0,7.997574404761905
2021-03-08,924.86240727,1.3052046694595727,0.6726440566076027,0.0,71.9435854862101,0.0,7.658214285714286
2021-03-15,1029.5996002,1.7211709091289935,0.7802035161312375,0.0,72.20632528062323,0.0,6.48858630952381
2021-03-22,1187.6171657,2.0634062233564197,0.8544616235477197,0.0,72.7743834679549,0.0,8.706755952380952
