date_monday,taux_passages_urgences,mnp_score,couv_complet
2019-12-30,1763.3438461,40.579666033498064,
2020-01-06,1283.5930147,40.579666033498064,
2020-01-13,1122.6776909,40.579666033498064,
2020-01-20,1192.589558,40.579666033498064,
2020-01-27,1110.1390954,40.579666033498064,
2020-02-03,1024.9819625,40.579666033498064,
2020-02-10,890.41405156,40.579666033498064,
2020-02-17,825.34214691,40.579666033498064,
2020-02-24,742.0274825,40.579666033498064,
2020-03-02,704.7122324,40.579666033498064,
2020-03-09,708.73342478,40.579666033498064,
2020-03-16,821.48337596,40.579666033498064,
2020-03-23,630.36401302,40.579666033498064,
2020-03-30,329.5202322,40.579666033498064,
2020-04-06,160.11885111,40.579666033498064,
2020-04-13,103.6695738,40.579666033498064,
2020-04-20,85.850068987,40.579666033498064,
2020-04-27,71.407752842,40.579666033498064,
2020-05-04,54.666146037,40.579666033498064,
2020-05-11,63.265580832,40.579666033498064,
2020-05-18,45.227326827,40.579666033498064,
2020-05-25,50.279968004,40.579666033498064,
2020-06-01,35.211267606,40.579666033498064,
2020-06-08,37.925264919,40.579666033498064,
2020-06-15,31.746031746,40.579666033498064,
2020-06-22,55.04587156,40.579666033498064,
2020-06-29,97.061442565,40.579666033498064,
2020-07-06,178.02764113,40.579666033498064,
2020-07-13,164.47117947,40.579666033498064,
2020-07-20,149.18190568,40.579666033498064,
2020-07-27,131.20824278,40.579666033498064,
2020-08-03,107.32579885,40.579666033498064,
2020-08-10,102.91595197,40.579666033498064,
2020-08-17,127.78002426,40.579666033498064,
2020-08-24,170.1754386,40.579666033498064,
2020-08-31,230.35343035,40.579666033498064,
2020-09-07,538.06249246,40.579666033498064,
2020-09-14,468.66069728,40.579666033498064,
2020-09-21,428.96068509,40.579666033498064,
2020-09-28,424.83932894,40.579666033498064,
2020-10-05,466.36561819,40.579666033498064,
2020-10-12,410.79092581,40.579666033498064,
2020-10-19,412.57085456,40.579666033498064,
2020-10-26,320.68799228,40.579666033498064,
2020-11-02,274.39836604,40.579666033498064,
2020-11-09,277.89690368,40.579666033498064,
2020-11-16,337.15616108,40.579666033498064,
2020-11-23,320.80974438,40.579666033498064,
2020-11-30,354.36039206,40.579666033498064,
2020-12-07,387.57181002,40.579666033498064,
2020-12-14,408.25653134,43.21814232511111,
2020-12-21,465.72997646,45.856618616724155,
2020-12-28,418.02235111,48.495094908337194,0.0
2021-01-04,360.8984605,51.13357119995024,0.0001462346269558
2021-01-11,419.98090996,53.772047491563285,0.0012026466799503
2021-01-18,558.99353961,54.853082594721705,0.0028202392341477
2021-01-25,711.93654479,55.934117697880126,0.0220797901871122
2021-02-01,763.39097427,57.01515280103854,0.0982508267573301
2021-02-08,873.92900857,58.09618790419696,0.2382936256429334
2021-02-15,982.82442748,58.69306784911507,0.412165368230981
2021-02-22,1055.3913092,59.28994779403318,0.5527926960036038
2021-03-01,904.50172229,59.8868277389513,0.6726440566076027
2021-03-08,924.86240727,60.483707683869405,0.7802035161312375
2021-03-15,1029.5996002,61.83830601151662,0.8544616235477197
2021-03-22,1187.6171657,63.19290433916384,0.9447649874697652
2021-03-29,1232.8174565,64.54750266681106,1.1170035719130709
2021-04-05,1143.7371663,65.90210099445827,1.3335070092771772
2021-04-12,1045.153522,67.25669932210549,1.6269552569098753
2021-04-19,706.60095787,68.6112976497527,1.9843289271832565
2021-04-26,488.80291645,70.86360055838541,2.368623286303032
2021-05-03,432.74355148,73.11590346701811,2.8307455981443876
2021-05-10,518.66700075,75.36820637565083,3.242655362993798
2021-05-17,563.13569834,74.23736712290118,3.604672085078228
2021-05-24,562.63710203,73.10652787015152,4.040023629287379
2021-05-31,553.23832696,71.97568861740187,4.628595883261112
2021-06-07,548.44816706,70.84484936465222,5.288809177335863
2021-06-14,503.92875851,69.71401011190257,6.114296273326946
2021-06-21,529.91000529,72.16878906328567,7.098064124871925
2021-06-28,598.75459045,74.62356801466878,8.13888273310745
2021-07-05,587.34230226,77.07834696605188,9.110251362921469
2021-07-12,643.57676307,79.53312591743499,10.066197769472502
2021-07-19,591.81987193,79.93532777841804,11.005215777064985
2021-07-26,504.68910934,80.3375296394011,11.71659070953408
2021-08-02,384.7574489,80.73973150038417,12.285526561415354
2021-08-09,293.16392032,81.14193336136722,12.886219904594268
2021-08-16,244.19859687,81.54413522235028,13.593179944040031
2021-08-23,217.73384902,81.94633708333333,14.34425122860517
2021-08-30,259.01220551,81.27251363778875,14.949034635510005
2021-09-06,278.88446215,80.59869019224416,15.340358497243754
2021-09-13,464.74622771,79.92486674669958,15.63104876800448
2021-09-20,540.3536501,79.251043301155,15.86162472808306
2021-09-27,718.20426077,78.57721985561041,16.034399096537733
2021-10-04,906.43398704,78.57721985561041,16.174517265651236
2021-10-11,1105.6010456,78.57721985561041,16.285053849176872
2021-10-18,1288.8647867,78.57721985561041,16.379106062695275
2021-10-25,1465.9053834,78.57721985561041,16.453715215140612
2021-11-01,1574.2441368,78.57721985561041,16.518370582053663
2021-11-08,1430.9667921,78.57721985561041,16.578434509376944
2021-11-15,1558.9551046,78.57721985561041,16.64039498102181
2021-11-22,1873.2991147,78.57721985561041,16.694355558368503
2021-11-29,1944.6389862,78.57721985561041,16.74370544394765
2021-12-06,1791.5719531,78.57721985561041,16.797795871089146
2021-12-13,1682.1902343,78.57721985561041,16.85966950312361
2021-12-20,1441.0805445,78.57721985561041,16.900940027968645
2021-12-27,1288.6052743,78.57721985561041,16.93979501893369
2022-01-03,934.8132648,78.57721985561041,17.01086914384225
2022-01-10,789.42460132,78.57721985561041,17.07946014743819
