geo_level,geo_code,geo_name,date_monday,indicator,value,year_iso,week_iso_num
FR,FR,France,2020-05-11,residential,13.78021978021978,2020,20
FR,FR,France,2020-05-11,retail and recreation,-46.670329670329664,2020,20
FR,FR,France,2020-05-11,transit stations,-49.505494505494504,2020,20
FR,FR,France,2020-05-11,workplaces,-34.043956043956044,2020,20
FR,FR,France,2020-05-18,grocery and pharmacy,-9.10989010989011,2020,21
FR,FR,France,2020-05-18,parks,27.24175824175824,2020,21
FR,FR,France,2020-05-18,residential,13.263736263736263,2020,21
FR,FR,France,2020-05-18,retail and recreation,-41.38461538461539,2020,21
FR,FR,France,2020-05-18,transit stations,-48.12087912087912,2020,21
FR,FR,France,2020-05-18,workplaces,-37.967032967032964,2020,21
FR,FR,France,2020-05-25,grocery and pharmacy,-1.263736263736264,2020,22
FR,FR,France,2020-05-25,parks,34.1978021978022,2020,22
FR,FR,France,2020-05-25,residential,10.263736263736263,2020,22
FR,FR,France,2020-05-25,retail and recreation,-34.68131868131868,2020,22
FR,FR,France,2020-05-25,transit stations,-40.46153846153846,2020,22
FR,FR,France,2020-05-25,workplaces,-24.81318681318681,2020,22
FR,FR,France,2020-06-01,grocery and pharmacy,-3.208791208791209,2020,23
FR,FR,France,2020-06-01,parks,26.835164835164832,2020,23
FR,FR,France,2020-06-01,residential,9.274725274725274,2020,23
FR,FR,France,2020-06-01,retail and recreation,-24.406593406593405,2020,23
FR,FR,France,2020-06-01,transit stations,-33.8021978021978,2020,23
FR,FR,France,2020-06-01,workplaces,-24.12087912087912,2020,23
FR,FR,France,2020-06-08,grocery and pharmacy,-4.010989010989011,2020,24
FR,FR,France,2020-06-08,parks,26.208791208791208,2020,24
FR,FR,France,2020-06-08,residential,7.6923076923076925,2020,24
FR,FR,France,2020-06-08,retail and recreation,-20.24175824175824,2020,24
FR,FR,France,2020-06-08,transit stations,-27.54945054945055,2020,24
FR,FR,France,2020-06-08,workplaces,-18.32967032967033,2020,24
FR,FR,France,2020-06-15,grocery and pharmacy,-1.065934065934066,2020,25
FR,FR,France,2020-06-15,parks,53.34065934065934,2020,25
FR,FR,France,2020-06-15,residential,5.648351648351649,2020,25
FR,FR,France,2020-06-15,retail and recreation,-12.945054945054945,2020,25
FR,FR,France,2020-06-15,transit stations,-19.12087912087912,2020,25
FR,FR,France,2020-06-15,workplaces,-15.58241758241758,2020,25
FR,FR,France,2020-06-22,grocery and pharmacy,1.1538461538461537,2020,26
FR,FR,France,2020-06-22,parks,87.0989010989011,2020,26
FR,FR,France,2020-06-22,residential,4.054945054945055,2020,26
FR,FR,France,2020-06-22,retail and recreation,-10.362637362637363,2020,26
FR,FR,France,2020-06-22,transit stations,-12.857142857142858,2020,26
FR,FR,France,2020-06-22,workplaces,-16.197802197802197,2020,26
FR,FR,France,2020-06-29,grocery and pharmacy,5.087912087912088,2020,27
FR,FR,France,2020-06-29,parks,87.12087912087912,2020,27
FR,FR,France,2020-06-29,residential,3.3076923076923075,2020,27
FR,FR,France,2020-06-29,retail and recreation,-3.89010989010989,2020,27
FR,FR,France,2020-06-29,transit stations,-5.549450549450549,2020,27
FR,FR,France,2020-06-29,workplaces,-15.395604395604396,2020,27
FR,FR,France,2020-07-06,grocery and pharmacy,11.351648351648352,2020,28
FR,FR,France,2020-07-06,parks,156.2875457875458,2020,28
FR,FR,France,2020-07-06,residential,2.21978021978022,2020,28
FR,FR,France,2020-07-06,retail and recreation,2.7362637362637368,2020,28
FR,FR,France,2020-07-06,transit stations,5.824175824175825,2020,28
FR,FR,France,2020-07-06,workplaces,-18.9010989010989,2020,28
FR,FR,France,2020-07-13,grocery and pharmacy,9.175824175824175,2020,29
FR,FR,France,2020-07-13,parks,198.92490842490844,2020,29
FR,FR,France,2020-07-13,residential,4.329670329670329,2020,29
FR,FR,France,2020-07-13,retail and recreation,2.8901098901098905,2020,29
FR,FR,France,2020-07-13,transit stations,5.274725274725275,2020,29
FR,FR,France,2020-07-13,workplaces,-28.615384615384617,2020,29
FR,FR,France,2020-07-20,grocery and pharmacy,11.384615384615385,2020,30
FR,FR,France,2020-07-20,parks,196.55604395604394,2020,30
FR,FR,France,2020-07-20,residential,3.131868131868132,2020,30
FR,FR,France,2020-07-20,retail and recreation,3.7142857142857144,2020,30
FR,FR,France,2020-07-20,transit stations,8.175824175824175,2020,30
FR,FR,France,2020-07-20,workplaces,-21.13186813186813,2020,30
FR,FR,France,2020-07-27,grocery and pharmacy,13.747252747252748,2020,31
FR,FR,France,2020-07-27,parks,209.16483516483515,2020,31
FR,FR,France,2020-07-27,residential,3.340659340659341,2020,31
FR,FR,France,2020-07-27,retail and recreation,4.571428571428571,2020,31
FR,FR,France,2020-07-27,transit stations,13.846153846153847,2020,31
FR,FR,France,2020-07-27,workplaces,-24.956043956043956,2020,31
FR,FR,France,2020-08-03,grocery and pharmacy,18.978021978021978,2020,32
FR,FR,France,2020-08-03,parks,220.85714285714286,2020,32
FR,FR,France,2020-08-03,residential,3.7472527472527473,2020,32
FR,FR,France,2020-08-03,retail and recreation,10.637362637362637,2020,32
FR,FR,France,2020-08-03,transit stations,17.318681318681318,2020,32
FR,FR,France,2020-08-03,workplaces,-31.76923076923077,2020,32
FR,FR,France,2020-08-10,grocery and pharmacy,15.078754578754578,2020,33
FR,FR,France,2020-08-10,parks,215.77380952380952,2020,33
FR,FR,France,2020-08-10,residential,4.978021978021977,2020,33
FR,FR,France,2020-08-10,retail and recreation,8.604395604395604,2020,33
FR,FR,France,2020-08-10,transit stations,16.307692307692307,2020,33
FR,FR,France,2020-08-10,workplaces,-37.362637362637365,2020,33
FR,FR,France,2020-08-17,grocery and pharmacy,12.23076923076923,2020,34
FR,FR,France,2020-08-17,parks,180.40119047619046,2020,34
FR,FR,France,2020-08-17,residential,4.472527472527473,2020,34
FR,FR,France,2020-08-17,retail and recreation,-1.2857142857142856,2020,34
FR,FR,France,2020-08-17,transit stations,3.642857142857143,2020,34
