geo_level,geo_code,geo_name,date_monday,tmin,tmax,tmean,year_iso,week_iso_num
FR,FR,France,2018-03-05,5.303556547619047,13.808824404761905,9.556294642857143,2018,10
FR,FR,France,2018-03-12,4.610342261904762,11.71404761904762,8.162276785714285,2018,11
FR,FR,France,2018-03-19,1.1968303571428571,9.438556547619047,5.317767857142857,2018,12
FR,FR,France,2018-03-26,4.644494047619047,12.543497023809524,8.593839285714287,2018,13
FR,FR,France,2018-04-02,7.522202380952382,17.031011904761904,12.276636904761906,2018,14
FR,FR,France,2018-04-09,7.546964285714285,16.093720238095237,11.820372023809524,2018,15
FR,FR,France,2018-04-16,9.348392857142857,24.004880952380955,16.676919642857143,2018,16
FR,FR,France,2018-04-23,8.865550595238096,18.556473214285713,13.71108630952381,2018,17
FR,FR,France,2018-04-30,7.543065476190477,17.921845238095237,12.73232142857143,2018,18
FR,FR,France,2018-05-07,9.805565476190475,20.087633928571428,14.946666666666667,2018,19
FR,FR,France,2018-05-14,9.107142857142858,19.21888392857143,14.162886904761905,2018,20
FR,FR,France,2018-05-21,12.599464285714285,24.12824404761905,18.363869047619048,2018,21
FR,FR,France,2018-05-28,14.263794642857142,23.45331845238095,18.858645833333334,2018,22
FR,FR,France,2018-06-04,15.088125,24.053511904761905,19.570744047619048,2018,23
FR,FR,France,2018-06-11,13.735997023809524,21.873199404761905,17.8046875,2018,24
FR,FR,France,2018-06-18,13.345386904761904,24.898883928571426,19.122232142857143,2018,25
FR,FR,France,2018-06-25,15.158794642857144,28.459761904761905,21.809241071428573,2018,26
FR,FR,France,2018-07-02,16.631517857142857,27.981785714285717,22.306636904761906,2018,27
FR,FR,France,2018-07-09,15.269300595238095,27.722901785714285,21.496011904761904,2018,28
FR,FR,France,2018-07-16,15.741994047619047,27.279791666666668,21.51105654761905,2018,29
FR,FR,France,2018-07-23,17.18433035714286,30.20391369047619,23.694270833333334,2018,30
FR,FR,France,2018-07-30,18.42782738095238,31.60491071428571,25.016339285714285,2018,31
FR,FR,France,2018-08-06,15.924747023809523,28.23596726190476,22.08034226190476,2018,32
FR,FR,France,2018-08-13,15.18828869047619,26.263526785714287,20.725833333333334,2018,33
FR,FR,France,2018-08-20,14.911279761904764,25.967886904761908,20.439598214285713,2018,34
FR,FR,France,2018-08-27,13.068511904761905,24.54044642857143,18.804255952380952,2018,35
FR,FR,France,2018-09-03,12.985892857142858,24.875714285714285,18.930714285714284,2018,36
FR,FR,France,2018-09-10,12.91797619047619,25.84125,19.37950892857143,2018,37
FR,FR,France,2018-09-17,13.780208333333334,25.8218005952381,19.80107142857143,2018,38
FR,FR,France,2018-09-24,8.441845238095238,21.911309523809525,15.176815476190477,2018,39
